,SENS0008,SENS0010,SENS0012,SENS0017,SENS0018,SENS0019,SENS0020,SENS0021,SENS0022,SENS0023,SENS0027,SENS0028,SENS0030
SENS0008,0.000000,0.023632,0.593907,0.265357,0.582419,0.267347,0.398739,0.289590,0.199145,0.494262,0.180951,0.056168,0.606960
SENS0010,0.023176,0.000000,0.353874,0.437978,0.283395,0.211917,0.444948,0.226998,0.101867,0.200250,0.169410,0.306630,0.257123
SENS0012,0.594240,0.353696,0.000000,0.644732,0.496227,0.275016,0.845699,0.831607,0.430593,0.697451,0.434140,0.415691,0.882265
SENS0017,0.265506,0.438511,0.644499,0.000000,0.582925,0.284301,0.702594,0.631709,0.285693,0.499941,0.518931,0.346221,0.539408
SENS0018,0.582801,0.282795,0.495865,0.582488,0.000000,0.496590,0.657313,0.421273,0.160579,1.000000,0.576565,0.359345,0.776193
SENS0019,0.267423,0.211357,0.275255,0.284066,0.496763,0.000000,0.248467,0.054826,0.033624,0.598703,0.313444,0.335428,0.177147
SENS0020,0.398634,0.444932,0.846069,0.703056,0.657334,0.248694,0.000000,0.773334,0.276812,0.634216,0.499534,0.402960,0.683713
SENS0021,0.289579,0.227093,0.832107,0.631341,0.420611,0.054909,0.773776,0.000000,0.400238,0.496527,0.261261,0.448132,0.697653
SENS0022,0.199188,0.102293,0.430305,0.285811,0.160665,0.033758,0.276881,0.400156,0.000000,0.413025,0.000049,0.390122,0.206336
SENS0023,0.494182,0.200842,0.697731,0.500589,0.999707,0.598912,0.634424,0.495602,0.412818,0.000000,0.455060,0.529542,0.694679
SENS0027,0.180803,0.168730,0.434572,0.518554,0.576850,0.313666,0.499564,0.261406,0.000000,0.454888,0.000000,0.182191,0.502674
SENS0028,0.056156,0.306956,0.415744,0.345999,0.359058,0.335315,0.403191,0.448210,0.390092,0.529695,0.182045,0.000000,0.214835
SENS0030,0.606562,0.256751,0.882614,0.539183,0.777089,0.177204,0.683519,0.697430,0.206257,0.694803,0.502881,0.214963,0.000000
