,SENS0008,SENS0010,SENS0012,SENS0017,SENS0018,SENS0019,SENS0020,SENS0021,SENS0022,SENS0023,SENS0027,SENS0028,SENS0030
SENS0008,1,0,0,0,0,0,0,0,0,0,0,0,0
SENS0010,0,1,0,0,0,0,0,0,0,0,0,0,0
SENS0012,0,0,1,0,0,0,0,0,0,0,0,0,0
SENS0017,0,0,0,1,0,0,0,0,0,0,0,0,0
SENS0018,0,0,0,0,1,0,0,0,0,0,0,0,0
SENS0019,0,0,0,0,0,1,0,0,0,0,0,0,0
SENS0020,0,0,0,0,0,0,1,0,0,0,0,0,0
SENS0021,0,0,0,0,0,0,0,1,0,0,0,0,0
SENS0022,0,0,0,0,0,0,0,0,1,0,0,0,0
SENS0023,0,0,0,0,0,0,0,0,0,1,0,0,0
SENS0027,0,0,0,0,0,0,0,0,0,0,1,0,0
SENS0028,0,0,0,0,0,0,0,0,0,0,0,1,0
SENS0030,0,0,0,0,0,0,0,0,0,0,0,0,1
